player_name,age,player_height,draft_year,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,ovrdraftpick
Rodrick Rhodes,24,198.12,1997,58,5.8,1.2,1.9,-4.2,0.03,0.047,0.2,0.439,0.175,1997,24
Tariq Abdul-Wahad,23,198.12,1997,59,6.4,2.0,0.9,-7.0,0.048,0.085,0.217,0.456,0.087,1997,11
Adonal Foyle,23,208.28,1997,55,3.0,3.3,0.3,-11.8,0.112,0.182,0.162,0.418,0.037,1997,8
Alvin Williams,23,195.58,1997,54,6.0,1.5,1.9,1.1,0.027,0.056,0.158,0.504,0.156,1997,94
Anthony Johnson,23,190.5,1997,77,7.5,2.2,4.3,-7.7,0.025,0.061,0.154,0.437,0.222,1997,78
Anthony Parker,23,198.12,1997,37,1.9,0.7,0.5,-5.0,0.041,0.106,0.178,0.501,0.179,1997,21
Antonio Daniels,23,193.04,1997,74,7.8,1.9,4.5,-12.8,0.013,0.069,0.178,0.465,0.268,1997,4
DeJuan Wheat,24,182.88,1997,34,1.7,0.3,0.7,-1.6,0.021,0.057,0.182,0.504,0.269,1997,102
Danny Fortson,22,200.66,1997,80,10.2,5.6,1.0,-13.2,0.12,0.182,0.23,0.537,0.081,1997,10
Austin Croshere,23,205.74,1997,26,2.9,1.7,0.3,-3.1,0.047,0.169,0.194,0.412,0.052,1997,12
Chauncey Billups,21,190.5,1997,80,11.2,2.4,3.9,-10.6,0.029,0.072,0.203,0.516,0.242,1997,3
Charles Smith,22,193.04,1997,34,3.5,0.8,0.6,-7.5,0.05,0.052,0.233,0.458,0.128,1997,26
Charles O'Bannon,23,195.58,1997,30,2.1,1.1,0.6,4.0,0.065,0.11,0.152,0.423,0.112,1997,62
Cedric Henderson,23,200.66,1997,82,10.1,4.0,2.0,3.1,0.036,0.121,0.178,0.514,0.113,1997,88
Brevin Knight,22,177.8,1997,80,9.0,3.2,8.2,6.4,0.033,0.088,0.166,0.515,0.418,1997,16
Kebu Stewart,24,203.2,1997,15,2.7,2.1,0.1,11.7,0.087,0.212,0.173,0.541,0.03,1997,70
Bubba Wells,23,195.58,1997,39,3.3,1.7,0.9,-14.0,0.057,0.138,0.185,0.474,0.142,1997,68
Chris Anstey,23,213.36,1997,41,5.9,3.8,0.9,-9.8,0.082,0.174,0.201,0.455,0.094,1997,18
Bobby Jackson,25,185.42,1997,68,11.6,4.4,4.7,-12.5,0.043,0.128,0.232,0.453,0.288,1997,23
Chris Crawford,23,205.74,1997,40,3.8,1.0,0.2,-7.1,0.081,0.084,0.252,0.536,0.062,1997,100
