player_name,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,isallstar
Kobe Bryant,18,71,7.6,1.9,1.3,2.2,0.048,0.084,0.244,0.544,0.144,1
Kurt Thomas,24,18,6.3,5.9,0.5,-0.8,0.094,0.239,0.183,0.451,0.042,0
Mark Hendrickson,23,29,2.9,3.2,0.1,-5.1,0.113,0.201,0.133,0.481,0.014,0
Othella Harrington,23,57,4.8,3.5,0.3,0.4,0.103,0.155,0.154,0.57,0.033,0
Priest Lauderdale,23,35,3.2,1.2,0.3,-4.0,0.093,0.164,0.284,0.56,0.107,0
Randolph Childress,24,23,1.7,0.3,0.7,-0.9,0.008,0.037,0.176,0.448,0.205,0
Rasheed Wallace,22,62,15.1,6.8,1.2,7.8,0.079,0.181,0.218,0.588,0.067,1
Ray Allen,21,82,13.4,4.0,2.6,-2.0,0.046,0.109,0.211,0.541,0.133,1
Reggie Geary,23,39,1.5,0.4,0.9,7.7,0.019,0.054,0.154,0.454,0.269,0
Martin Lewis,22,9,1.6,0.7,0.4,-3.5,0.087,0.045,0.135,0.47,0.125,0
Martin Muursepp,22,42,3.7,1.6,0.5,-14.5,0.109,0.118,0.233,0.482,0.114,0
Michael Finley,24,83,15.0,4.5,2.7,-6.5,0.036,0.12,0.221,0.53,0.147,1
Moochie Norris,23,8,1.5,1.5,2.9,-30.5,0.038,0.105,0.149,0.248,0.418,0
Antonio McDyess,22,74,18.3,7.3,1.4,-7.5,0.07,0.163,0.267,0.509,0.079,1
Ben Davis,24,20,1.5,1.4,0.0,-0.4,0.132,0.192,0.156,0.417,0.0,0
Bob Sura,24,82,9.2,3.8,4.8,1.0,0.042,0.134,0.199,0.519,0.318,0
Brent Barry,25,59,7.5,1.9,2.6,4.1,0.03,0.089,0.2,0.526,0.224,0
Antoine Walker,20,82,17.5,9.0,3.2,-9.3,0.103,0.189,0.251,0.474,0.15,1
Allen Iverson,22,76,23.5,4.1,7.5,-7.0,0.04,0.072,0.284,0.513,0.32,1
Alan Henderson,24,30,6.6,3.9,0.8,-9.7,0.114,0.184,0.202,0.51,0.078,0
Andrew DeClercq,24,71,5.3,4.2,0.5,-5.6,0.132,0.198,0.173,0.552,0.05,0
Amal McCaskill,23,17,1.6,1.3,0.4,-15.7,0.038,0.2,0.206,0.376,0.146,0
Maurice Taylor,21,71,11.5,4.2,0.7,-9.5,0.089,0.136,0.262,0.521,0.069,0
Randy Livingston,23,12,0.8,0.5,0.4,-5.0,0.013,0.063,0.104,0.352,0.104,0
Reggie Geary,24,62,2.5,1.1,1.2,7.5,0.034,0.078,0.164,0.392,0.175,0
Ray Allen,22,82,19.5,4.9,4.3,-0.9,0.047,0.104,0.243,0.539,0.189,1
Priest Lauderdale,24,39,3.7,2.6,0.5,-6.2,0.093,0.251,0.268,0.46,0.121,0
Othella Harrington,24,58,6.0,3.6,0.4,-7.3,0.099,0.183,0.182,0.547,0.047,0
Martin Muursepp,23,41,5.7,2.8,0.7,-3.7,0.085,0.133,0.179,0.528,0.079,0
Kobe Bryant,19,79,15.4,3.1,2.5,6.9,0.044,0.088,0.268,0.548,0.165,1
Kerry Kittles,24,77,17.2,4.7,2.3,1.9,0.051,0.1,0.21,0.525,0.104,0
Kelvin Cato,23,74,3.8,3.4,0.3,-2.3,0.103,0.173,0.147,0.496,0.038,0
Keith Van Horn,22,62,19.7,6.6,1.7,2.9,0.068,0.139,0.251,0.516,0.075,0
Marko Milic,21,33,2.8,0.8,0.4,7.4,0.076,0.099,0.245,0.644,0.113,0
Mark Pope,25,28,1.4,0.9,0.3,-0.2,0.056,0.115,0.145,0.402,0.062,0
Mark Hendrickson,24,48,3.4,3.0,0.9,-7.6,0.049,0.164,0.125,0.468,0.086,0
Marcus Camby,24,63,12.1,7.4,1.8,-7.5,0.106,0.151,0.217,0.448,0.095,0
Malik Rose,23,53,3.0,1.7,0.4,-6.8,0.104,0.131,0.212,0.485,0.086,0
Lorenzen Wright,22,69,9.0,8.8,0.8,-5.5,0.099,0.233,0.156,0.49,0.044,0
Tracy McGrady,19,64,7.0,4.2,1.5,-9.5,0.095,0.155,0.187,0.505,0.136,1
Tony Delk,24,77,10.1,2.2,2.2,-9.3,0.024,0.086,0.254,0.452,0.194,0
Tony Battie,22,65,8.4,5.4,0.9,-15.6,0.101,0.167,0.202,0.477,0.075,0
Todd Fuller,23,57,4.0,3.4,0.2,-4.6,0.099,0.233,0.187,0.473,0.027,0
Tim Thomas,21,77,11.0,3.7,1.2,-4.9,0.069,0.118,0.227,0.538,0.092,0
Tim Duncan,22,82,21.1,11.9,2.7,8.0,0.108,0.238,0.262,0.577,0.131,1
Travis Knight,23,74,6.5,4.9,1.4,-4.9,0.104,0.188,0.162,0.499,0.108,0
Zydrunas Ilgauskas,23,82,13.9,8.8,0.9,4.4,0.147,0.222,0.223,0.564,0.054,1
Walter McCarty,24,82,9.6,4.4,2.2,-4.5,0.066,0.122,0.179,0.483,0.119,0
Vitaly Potapenko,23,80,7.1,3.9,0.7,0.1,0.097,0.177,0.229,0.517,0.083,0
Keith Booth,23,6,1.7,0.7,0.2,-10.0,0.1,0.125,0.236,0.579,0.077,0
Scot Pollard,23,33,2.7,2.2,0.3,0.8,0.133,0.15,0.136,0.555,0.05,0
Samaki Walker,22,41,8.9,7.4,0.6,-11.2,0.1,0.226,0.191,0.503,0.043,0
Roy Rogers,24,15,1.3,1.1,0.1,-21.7,0.083,0.092,0.133,0.362,0.032,0
Ron Mercer,22,80,15.3,3.5,2.2,-2.8,0.044,0.084,0.224,0.491,0.114,0
Rodrick Rhodes,24,58,5.8,1.2,1.9,-4.2,0.03,0.047,0.2,0.439,0.175,0
Shandon Anderson,24,82,8.3,2.8,1.1,3.7,0.073,0.108,0.198,0.586,0.099,0
Shareef Abdur-Rahim,21,82,22.3,7.1,2.6,-8.4,0.088,0.135,0.282,0.561,0.131,1
Tariq Abdul-Wahad,23,59,6.4,2.0,0.9,-7.0,0.048,0.085,0.217,0.456,0.087,0
Steve Nash,24,76,9.1,2.1,3.4,8.1,0.023,0.089,0.195,0.556,0.249,1
Stephon Marbury,21,82,17.7,2.8,8.6,0.9,0.021,0.062,0.241,0.505,0.359,1
Adonal Foyle,23,55,3.0,3.3,0.3,-11.8,0.112,0.182,0.162,0.418,0.037,0
Allen Iverson,23,80,22.0,3.7,6.2,-2.8,0.031,0.076,0.267,0.535,0.294,1
Alvin Williams,23,54,6.0,1.5,1.9,1.1,0.027,0.056,0.158,0.504,0.156,0
Anthony Johnson,23,77,7.5,2.2,4.3,-7.7,0.025,0.061,0.154,0.437,0.222,0
Anthony Parker,23,37,1.9,0.7,0.5,-5.0,0.041,0.106,0.178,0.501,0.179,0
Antoine Walker,21,82,22.4,10.2,3.3,-4.9,0.089,0.224,0.293,0.481,0.154,1
Antonio Daniels,23,74,7.8,1.9,4.5,-12.8,0.013,0.069,0.178,0.465,0.268,0
DeJuan Wheat,24,34,1.7,0.3,0.7,-1.6,0.021,0.057,0.182,0.504,0.269,0
Danny Fortson,22,80,10.2,5.6,1.0,-13.2,0.12,0.182,0.23,0.537,0.081,0
Austin Croshere,23,26,2.9,1.7,0.3,-3.1,0.047,0.169,0.194,0.412,0.052,0
Chauncey Billups,21,80,11.2,2.4,3.9,-10.6,0.029,0.072,0.203,0.516,0.242,1
Charles Smith,22,34,3.5,0.8,0.6,-7.5,0.05,0.052,0.233,0.458,0.128,0
Charles O'Bannon,23,30,2.1,1.1,0.6,4.0,0.065,0.11,0.152,0.423,0.112,0
Cedric Henderson,23,82,10.1,4.0,2.0,3.1,0.036,0.121,0.178,0.514,0.113,0
Brian Evans,24,72,4.5,1.9,0.8,-4.0,0.061,0.124,0.185,0.476,0.105,0
Brevin Knight,22,80,9.0,3.2,8.2,6.4,0.033,0.088,0.166,0.515,0.418,0
Kebu Stewart,24,15,2.7,2.1,0.1,11.7,0.087,0.212,0.173,0.541,0.03,0
Bubba Wells,23,39,3.3,1.7,0.9,-14.0,0.057,0.138,0.185,0.474,0.142,0
Chris Anstey,23,41,5.9,3.8,0.9,-9.8,0.082,0.174,0.201,0.455,0.094,0
Ben Davis,25,7,0.6,0.9,0.0,-29.9,0.316,0.0,0.256,0.2,0.0,0
Bobby Jackson,25,68,11.6,4.4,4.7,-12.5,0.043,0.128,0.232,0.453,0.288,0
Chris Robinson,24,35,4.6,1.3,1.1,-8.9,0.022,0.098,0.225,0.447,0.167,0
Chris Crawford,23,40,3.8,1.0,0.2,-7.1,0.081,0.084,0.252,0.536,0.062,0
Jamie Feick,23,45,2.3,2.8,0.4,0.3,0.113,0.218,0.125,0.472,0.054,0
James Cotton,22,9,2.7,0.7,0.0,-36.2,0.061,0.121,0.332,0.481,0.0,0
James Collins,24,23,2.6,0.6,0.1,-13.0,0.058,0.067,0.251,0.482,0.056,0
Jacque Vaughn,23,45,3.1,0.8,1.9,2.9,0.012,0.086,0.218,0.457,0.315,0
Jason Lawson,23,17,1.5,1.6,0.3,7.4,0.104,0.345,0.111,0.67,0.083,0
Johnny Taylor,24,12,3.2,1.1,0.1,4.8,0.043,0.127,0.215,0.431,0.014,0
John Wallace,24,82,14.0,4.5,1.3,-10.4,0.054,0.123,0.235,0.518,0.083,0
John Thomas,22,54,2.8,2.0,0.3,-2.6,0.099,0.133,0.145,0.552,0.05,0
Jerome Williams,25,77,5.3,4.9,0.6,6.6,0.155,0.185,0.147,0.568,0.061,0
Jermaine O'Neal,19,60,4.5,3.4,0.3,-0.1,0.117,0.165,0.181,0.498,0.037,1
Jerald Honeycutt,23,38,6.4,2.4,0.9,2.1,0.058,0.149,0.245,0.497,0.111,0
Jeff Nordgaard,25,13,1.4,1.1,0.2,4.4,0.071,0.227,0.199,0.41,0.086,0
Ed Gray,22,30,7.6,1.5,1.1,-8.3,0.023,0.09,0.248,0.492,0.132,0
Drew Barry,25,27,2.1,1.3,1.8,16.0,0.024,0.129,0.124,0.64,0.257,0
Dontae' Jones,23,15,2.9,0.6,0.3,-7.1,0.03,0.08,0.289,0.386,0.089,0
Derek Fisher,23,82,5.8,2.4,4.1,9.1,0.026,0.099,0.141,0.533,0.27,0
Derek Anderson,23,66,11.7,2.8,3.4,3.9,0.038,0.091,0.215,0.531,0.219,0
God Shammgod,22,20,3.1,0.4,1.8,-5.9,0.013,0.036,0.256,0.428,0.419,0
Eric Washington,24,66,7.7,1.9,1.2,-18.1,0.034,0.063,0.176,0.478,0.093,0
Erick Dampier,22,82,11.8,8.7,1.1,-10.1,0.108,0.182,0.191,0.502,0.06,0
Dirk Nowitzki,21,47,8.2,3.4,1.0,-1.5,0.052,0.139,0.223,0.492,0.082,1
Cory Carr,23,42,4.1,1.2,1.6,-14.0,0.015,0.082,0.21,0.372,0.206,0
Cuttino Mobley,23,49,9.9,2.3,2.5,3.7,0.019,0.067,0.174,0.537,0.137,0
Ed Gray,23,30,4.9,0.9,0.4,-12.5,0.022,0.079,0.304,0.368,0.083,0
Danny Fortson,23,50,11.0,11.6,0.6,-7.1,0.167,0.312,0.179,0.564,0.038,0
DeJuan Wheat,25,46,4.5,1.0,2.2,-9.9,0.021,0.073,0.206,0.479,0.329,0
Derek Anderson,24,38,10.8,2.9,3.8,-1.5,0.027,0.12,0.236,0.529,0.305,0
J.R. Henderson,22,30,3.2,1.6,0.7,-6.9,0.069,0.097,0.189,0.419,0.128,0
Eric Washington,25,38,5.4,2.3,0.8,-6.3,0.05,0.083,0.139,0.517,0.069,0
Felipe Lopez,24,47,9.3,3.5,1.3,-9.1,0.065,0.097,0.196,0.498,0.093,0
Corey Benjamin,21,30,3.9,1.3,0.3,-16.4,0.058,0.095,0.227,0.438,0.065,0
Antonio Daniels,24,47,4.7,1.1,2.3,10.1,0.025,0.07,0.192,0.52,0.31,0
Austin Croshere,24,27,3.4,1.7,0.4,-12.5,0.071,0.152,0.208,0.54,0.075,0
Bobby Jackson,26,50,7.1,2.7,3.3,-1.7,0.048,0.117,0.217,0.461,0.305,0
Anthony Parker,24,2,1.0,0.0,0.0,38.3,0.0,0.0,0.177,1.0,0.0,0
Anthony Johnson,24,49,5.0,1.5,2.2,-1.8,0.022,0.077,0.177,0.467,0.249,0
Jacque Vaughn,24,19,2.3,0.6,0.6,-20.1,0.012,0.133,0.276,0.542,0.316,0
Adonal Foyle,24,44,2.9,4.4,0.4,-3.9,0.14,0.202,0.126,0.45,0.049,0
Al Harrington,19,21,2.1,1.9,0.2,-8.3,0.132,0.148,0.21,0.359,0.06,0
Alvin Williams,24,50,5.0,1.6,2.6,-3.1,0.02,0.067,0.137,0.477,0.207,0
Andrae Patterson,23,35,3.3,1.9,0.4,-1.6,0.104,0.144,0.206,0.505,0.094,0
Antawn Jamison,23,47,9.6,6.4,0.7,-3.0,0.12,0.173,0.216,0.487,0.058,1
Bonzi Wells,22,7,4.4,1.3,0.4,-8.0,0.125,0.125,0.389,0.555,0.231,0
Chauncey Billups,22,45,13.9,2.1,3.8,-6.0,0.019,0.059,0.203,0.547,0.192,1
Chris Anstey,24,41,3.3,2.4,0.7,-5.4,0.083,0.155,0.18,0.418,0.093,0
Chris Crawford,24,42,6.9,2.1,0.6,0.5,0.056,0.077,0.205,0.504,0.059,0
Charles Smith,23,23,3.7,1.0,0.6,-15.4,0.025,0.069,0.178,0.404,0.071,0
Brevin Knight,23,39,9.6,3.4,7.7,1.1,0.017,0.118,0.19,0.495,0.442,0
Brian Skinner,23,21,4.1,2.5,0.0,0.5,0.085,0.152,0.182,0.503,0.007,0
Bruno Sundov,19,3,1.3,0.0,0.3,-64.9,0.0,0.0,0.287,0.286,0.143,0
Bryce Drew,24,34,3.5,0.9,1.5,-1.2,0.008,0.073,0.171,0.445,0.193,0
Casey Shaw,23,9,0.2,0.3,0.0,-10.7,0.167,0.0,0.286,0.125,0.0,0
Cedric Henderson,24,50,9.1,3.9,2.3,-3.2,0.037,0.121,0.186,0.46,0.137,0
Charles O'Bannon,24,18,3.1,1.9,0.7,11.4,0.117,0.101,0.191,0.47,0.126,0
Jahidi White,23,20,2.5,2.9,0.1,-4.7,0.139,0.191,0.147,0.517,0.008,0
Kelvin Cato,24,43,3.5,3.5,0.4,8.6,0.104,0.195,0.154,0.476,0.059,0
Rodrick Rhodes,25,13,3.3,1.3,0.8,-28.3,0.06,0.06,0.235,0.341,0.164,0
Ron Mercer,23,41,17.0,3.8,2.5,-5.9,0.026,0.091,0.246,0.463,0.12,0
Roshown McLeod,23,34,4.8,1.5,0.4,-5.9,0.042,0.131,0.276,0.443,0.09,0
Ruben Patterson,23,24,2.7,1.3,0.1,-4.0,0.13,0.107,0.229,0.503,0.024,0
Ryan Stack,23,18,2.6,1.9,0.3,-19.4,0.117,0.094,0.14,0.513,0.045,0
Sam Jacobson,23,2,4.0,1.5,0.0,26.0,0.0,0.214,0.24,0.68,0.0,0
Robert Traylor,22,49,5.3,3.7,0.8,6.9,0.129,0.158,0.167,0.548,0.072,0
Sean Marks,23,8,1.4,0.1,0.0,-42.6,0.0,0.056,0.204,0.619,0.0,0
Pat Garrity,22,39,5.6,1.9,0.5,3.2,0.058,0.107,0.185,0.557,0.055,0
Paul Grant,25,6,0.7,0.2,0.0,-28.8,0.067,0.0,0.23,0.333,0.0,0
Paul Pierce,21,48,16.5,6.4,2.4,-2.0,0.079,0.134,0.232,0.54,0.121,1
Raef LaFrentz,23,12,13.8,7.6,0.7,-7.9,0.093,0.184,0.182,0.553,0.038,0
Rasho Nesterovic,23,2,4.0,4.0,0.5,2.9,0.086,0.25,0.187,0.311,0.045,0
Ricky Davis,19,46,4.5,1.8,1.3,0.2,0.09,0.091,0.233,0.462,0.186,0
Rashard Lewis,19,20,2.4,1.3,0.2,-13.5,0.085,0.085,0.22,0.404,0.047,1
Tyronn Lue,22,15,5.0,0.3,1.7,1.7,0.006,0.025,0.199,0.505,0.207,0
Tyson Wheeler,23,1,4.0,0.0,2.0,62.2,0.0,0.0,0.32,1.064,0.667,0
Tracy McGrady,20,49,9.3,5.7,2.3,-1.5,0.123,0.169,0.214,0.504,0.187,1
Vladimir Stepania,23,23,5.5,3.3,0.5,-6.2,0.101,0.166,0.244,0.445,0.065,0
Vince Carter,22,50,18.3,5.7,3.0,1.2,0.061,0.127,0.257,0.516,0.164,1
Tony Battie,23,50,6.7,6.0,1.1,1.2,0.096,0.209,0.143,0.541,0.077,0
Tariq Abdul-Wahad,24,49,9.3,3.8,1.0,-2.7,0.062,0.098,0.188,0.486,0.062,0
Tim Duncan,23,50,21.7,11.4,2.4,10.1,0.098,0.221,0.274,0.541,0.117,1
Tim Thomas,22,50,7.2,2.5,0.9,-3.4,0.074,0.118,0.212,0.545,0.1,0
Toby Bailey,23,27,2.9,2.0,0.5,-7.3,0.101,0.146,0.185,0.425,0.083,0
Shammond Williams,24,2,1.5,0.0,0.5,-42.9,0.0,0.0,0.294,0.543,1.0,0
John Thomas,23,39,4.3,3.4,0.4,6.0,0.133,0.13,0.127,0.586,0.042,0
Johnny Taylor,25,36,5.8,2.8,0.7,-4.0,0.046,0.117,0.154,0.497,0.055,0
Keith Booth,24,39,3.1,2.4,1.0,-18.3,0.067,0.194,0.227,0.354,0.172,0
Keith Van Horn,23,42,21.8,8.5,1.5,-4.1,0.076,0.18,0.283,0.519,0.082,0
Keon Clark,24,28,3.3,3.4,0.4,-3.0,0.106,0.181,0.133,0.483,0.044,0
Korleone Young,20,3,4.3,1.3,0.3,26.9,0.143,0.154,0.341,0.597,0.125,0
James Cotton,23,10,2.5,1.0,0.0,-34.0,0.033,0.129,0.214,0.482,0.0,0
Jason Williams,23,50,12.8,3.1,6.0,-1.4,0.008,0.08,0.186,0.483,0.243,0
Jerald Honeycutt,24,16,1.9,0.8,0.2,-10.6,0.029,0.11,0.2,0.412,0.067,0
Jerome James,23,16,1.5,1.1,0.1,-20.5,0.118,0.268,0.338,0.41,0.053,0
Jelani McCoy,21,26,5.1,3.0,0.2,-6.6,0.096,0.171,0.147,0.704,0.023,0
Scot Pollard,24,16,5.1,5.1,0.3,11.0,0.152,0.183,0.123,0.576,0.024,0
Mike Bibby,21,50,13.2,2.7,6.5,-9.6,0.02,0.072,0.215,0.487,0.343,0
Michael Olowokandi,24,45,8.9,7.9,0.6,-12.1,0.107,0.24,0.194,0.445,0.034,0
Michael Doleac,22,49,6.2,3.0,0.4,5.5,0.097,0.13,0.186,0.503,0.044,0
Michael Dickerson,24,50,10.9,1.7,1.9,4.4,0.021,0.039,0.169,0.554,0.101,0
Maurice Taylor,22,46,16.8,5.3,1.5,-12.2,0.075,0.119,0.27,0.505,0.087,0
Matt Harpring,23,50,8.2,4.3,0.9,-0.3,0.09,0.14,0.184,0.533,0.072,0
Marko Milic,22,11,1.5,0.5,0.2,-19.5,0.061,0.044,0.219,0.4,0.074,0
Miles Simon,23,5,0.4,0.4,0.0,-29.2,0.071,0.059,0.208,0.2,0.0,0
Larry Hughes,20,50,9.1,3.8,1.5,1.1,0.093,0.126,0.246,0.474,0.15,0
Nazr Mohammed,21,26,1.6,1.4,0.1,15.9,0.175,0.165,0.227,0.41,0.031,0
Michael Ruffin,23,71,2.2,3.5,0.6,-8.1,0.142,0.168,0.111,0.45,0.082,0
Michael Olowokandi,25,80,9.8,8.2,0.5,-14.1,0.083,0.214,0.183,0.467,0.026,0
Metta World Peace,20,72,12.0,4.3,2.7,-8.6,0.031,0.129,0.215,0.491,0.171,1
Michael Dickerson,25,82,18.2,3.4,2.5,-6.1,0.03,0.077,0.23,0.53,0.121,0
Mike Bibby,22,82,14.5,3.7,8.1,-6.4,0.028,0.089,0.2,0.521,0.35,0
Michael Doleac,23,81,7.0,4.1,0.8,1.2,0.071,0.199,0.201,0.49,0.075,0
Mirsad Turkcan,24,17,1.9,1.9,0.3,-23.8,0.14,0.299,0.238,0.397,0.119,0
Matt Harpring,24,4,4.0,3.0,2.0,0.3,0.081,0.117,0.131,0.398,0.178,0
Obinna Ekezie,24,39,3.2,2.4,0.2,-2.6,0.125,0.214,0.189,0.538,0.039,0
Nazr Mohammed,22,28,1.9,1.8,0.1,-7.6,0.083,0.187,0.183,0.424,0.018,0
Jonathan Bender,19,24,2.7,0.9,0.1,-0.3,0.033,0.126,0.277,0.397,0.036,0
Jumaine Jones,21,33,1.7,1.2,0.2,1.2,0.109,0.152,0.246,0.432,0.074,0
Kenny Thomas,22,72,8.3,6.1,1.6,0.9,0.094,0.178,0.18,0.477,0.099,0
Jelani McCoy,22,58,4.3,3.1,0.4,0.3,0.08,0.18,0.156,0.574,0.051,0
John Celestand,23,16,2.3,0.7,1.3,-3.1,0.006,0.056,0.148,0.388,0.165,0
Keon Clark,25,81,8.6,6.2,0.9,-0.8,0.095,0.199,0.172,0.573,0.063,0
Lamar Odom,20,76,16.6,7.8,4.2,-8.2,0.063,0.18,0.234,0.521,0.199,0
Lari Ketner,23,22,1.5,1.5,0.0,-27.2,0.089,0.208,0.152,0.456,0.015,0
Laron Profit,22,33,1.5,0.8,0.8,-1.5,0.01,0.111,0.159,0.386,0.185,0
Larry Hughes,21,82,15.0,4.3,2.5,-8.6,0.049,0.116,0.274,0.467,0.162,0
Todd MacCulloch,24,56,3.7,2.6,0.2,0.0,0.099,0.201,0.168,0.557,0.04,0
Toby Bailey,24,46,3.5,1.6,0.7,3.5,0.063,0.112,0.18,0.483,0.099,0
Tim Young,24,25,2.2,1.4,0.2,-4.6,0.086,0.19,0.181,0.492,0.057,0
